leaf_parent,pctOfApps.x,company,pctOfApps.y,country
Alphabet,0.8547096450520507,Google,0.8458923868054684,US
Alphabet,0.8547096450520507,Doubleclick,0.522751787282077,US
Alphabet,0.8547096450520507,Google Analytics,0.33120531794807473,US
Alphabet,0.8547096450520507,Google Tag Manager,0.2818136209707764,US
Alphabet,0.8547096450520507,Youtube,0.12383042769346544,US
Alphabet,0.8547096450520507,Admob,0.11921485011915214,US
Alphabet,0.8547096450520507,Blogger,0.0052677787532923615,US
Alphabet,0.8547096450520507,Alphabet,1.2542330364981813e-5,US
Facebook,0.37541703248463565,Facebook,0.37541703248463565,US
Facebook,0.37541703248463565,Liverail,0.0022074501442367993,US
Twitter,0.29451900163050293,Twitter,0.29302646431707013,US
Twitter,0.29451900163050293,Mopub,0.013432835820895522,US
Microsoft,0.19942305280321085,Microsoft,0.19824407374890254,US
Microsoft,0.19942305280321085,Bing,0.0013169446883230904,US
Verizon,0.19285087169196036,Yahoo,0.19285087169196036,US
Verizon,0.19285087169196036,Aol,5.518625360591998e-4,US
Linkedin,0.1920857895396965,Linkedin,0.1920857895396965,US
Amazon,0.1439357832685313,Amazon Web Services,0.08640411388435972,US
Amazon,0.1439357832685313,Amazon,0.06444249341527655,US
Amazon,0.1439357832685313,Amazon Marketing Services,0.009431832434466323,US
Amazon,0.1439357832685313,Alexa,1.2542330364981813e-5,US
Oath,0.04944186629875831,Flurry,0.03499310171829926,US
Oath,0.04944186629875831,Flickr,0.01528910071491283,US
Oath,0.04944186629875831,Tumblr,0.009795560015050796,US
Adobe,0.030753794054935408,Adobe,0.030753794054935408,US
Yandex,0.022801956603536937,Yandex,0.022801956603536937,RU
Inmobi,0.015502320331117522,Inmobi,0.015502320331117522,SG
Chartboost,0.014988084786153268,Chartboost,0.014988084786153268,
Opera,0.013646055437100213,Adcolony,0.013646055437100213,US
Akamai,0.013533174463815377,Akamai,0.013533174463815377,US
Applovin,0.012667753668631631,Applovin,0.012667753668631631,US
Cloudflare,0.01257995735607676,Cloudflare,0.01257995735607676,US
Baidu,0.011212843346293742,Baidu,0.011212843346293742,CN
Alibaba,0.010472845854759815,Alibaba,0.010472845854759815,CN
Disqus,0.010359964881474977,Disqus,0.010359964881474977,US
Oracle,0.01009657594381036,Oracle,0.010033864291985451,US
Oracle,0.01009657594381036,Addthis,6.271165182490907e-5,US
Urbanairship,0.009996237300890505,Urbanairship,0.009996237300890505,US
IAC,0.009582340398846105,Vimeo,0.008252853380158033,US
IAC,0.009582340398846105,Dictionary.com,0.0011162674024833815,US
IAC,0.009582340398846105,About.com,1.6305029474476357e-4,US
IAC,0.009582340398846105,Ask.com,7.525398218989088e-5,US
Apple,0.008867427568042142,Apple,0.008867427568042142,US
Appnext,0.00788912579957356,Appnext,0.00788912579957356,UK
Revmob,0.007613194531543961,Revmob,0.007613194531543961,DE
New Relic,0.007462686567164179,New Relic,0.007462686567164179,US
Mapbox,0.007149128308039634,Mapbox,0.007149128308039634,US
Appsflyer,0.0071115013169446885,Appsflyer,0.0071115013169446885,US
Unity Technologies,0.00574438730716167,Applifier,0.00574438730716167,FI
Millennialmedia,0.005242694092562398,Millennialmedia,0.005242694092562398,
Adbuddiz,0.004439984949203562,Adbuddiz,0.004439984949203562,FR
Tencent,0.0036247334754797443,Tencent,0.0036247334754797443,CN
Localytics,0.0035369371629248715,Localytics,0.0035369371629248715,UK
Spearhead Integrated Marketing Communication ,0.003499310171829926,Smaato,0.003499310171829926,US
Daum,0.003486767841464944,Daum,0.003486767841464944,KR
Automattic,0.0034742255110999623,Wordpress,0.0032484635645302897,US
Automattic,0.0034742255110999623,Gravatar,2.508466072996363e-4,US
Mobfox,0.0033738868681801077,Mobfox,0.0033738868681801077,AT
Pinterest,0.002959989966135708,Pinterest,0.002959989966135708,US
Smart Adserver,0.002959989966135708,Smart Adserver,0.002959989966135708,UK
Mail.ru,0.0027342280195660354,Mail.ru,0.0027342280195660354,RU
Smart Ad Server,0.0027342280195660354,Smart Ad Server,0.0027342280195660354,US
Appodeal,0.0026715163677411263,Appodeal,0.0026715163677411263,US
Foursquare,0.00255863539445629,Foursquare,0.00255863539445629,US
Drawbridge,0.002508466072996363,Drawbridge,0.002508466072996363,US
Sina,0.002495923742631381,Weibo,0.0019189765458422175,CN
Sina,0.002495923742631381,Sina,0.0012416907061331996,CN
Vungle,0.0023203311175216353,Vungle,0.0023203311175216353,US
Longtail Ad Solutions,0.0021823654835068356,Longtail Ad Solutions,0.0021823654835068356,US
Moat,0.0021071115013169446,Moat,0.0021071115013169446,US
Netease,0.001969145867302145,Netease,0.001969145867302145,CN
Pubnative,0.001969145867302145,Pubnative,0.001969145867302145,DE
RNTS Media,0.0018938918851122539,Fyber,0.0018938918851122539,US
Optimizely,0.0018688072243822902,Optimizely,0.0018688072243822902,US
Branch,0.0018562648940173084,Branch,0.0018562648940173084,US
Rubicon Project,0.001743383920732472,Rubicon Project,0.001743383920732472,US
Wikimedia Foundation,0.0016555876081775995,Wikimedia Foundation,0.0016555876081775995,US
Tapjoy,0.0014047410008779632,Tapjoy,0.0014047410008779632,US
I-Mobile,0.0012542330364981814,I-Mobile,0.0012542330364981814,JP
Bugsnag,9.40674777373636e-4,Bugsnag,9.40674777373636e-4,US
Nexage,9.030477862786906e-4,Nexage,9.030477862786906e-4,US
Integral Ad Science,8.905054559137088e-4,Integral Ad Science,8.905054559137088e-4,US
Mcro,8.654207951837451e-4,Mcro,8.654207951837451e-4,US
Tune,8.654207951837451e-4,Tune,8.654207951837451e-4,US
Sohu,8.152514737238179e-4,Sohu,8.152514737238179e-4,CN
Brightcove,7.39997491533927e-4,Brightcove,7.39997491533927e-4,US
Openx,6.772858397090179e-4,Openx,6.772858397090179e-4,US
Impact Radius,6.647435093440361e-4,Forensiq,6.647435093440361e-4,US
comScore,6.522011789790543e-4,Scorecardresearch,6.522011789790543e-4,US
comScore,6.522011789790543e-4,Voicefive,2.3830427693465446e-4,US
Mocomplex,6.396588486140725e-4,Mocomplex,6.396588486140725e-4,KR
Cheetahmobile,5.644048664241817e-4,Cheetahmobile,5.644048664241817e-4,CN
China InterActive,4.640662235043271e-4,Ren Ren,4.640662235043271e-4,CN
International Business Machines,4.640662235043271e-4,International Business Machines,2.2576194656967266e-4,US
International Business Machines,4.640662235043271e-4,Weather Underground,1.3796563401479995e-4,US
International Business Machines,4.640662235043271e-4,The Weather Company,1.0033864291985451e-4,US
Adstir,3.637275805844726e-4,Adstir,3.637275805844726e-4,JP
Appboy,3.637275805844726e-4,Appboy,3.637275805844726e-4,US
Jquery Foundation,3.3864291985450897e-4,Jquery Foundation,3.3864291985450897e-4,US
Apsalar,3.2610058948952714e-4,Apsalar,3.2610058948952714e-4,US
Samsung,3.1355825912454536e-4,Samsung,3.1355825912454536e-4,KR
Ironsource,2.759312680295999e-4,Ironsource,2.759312680295999e-4,US
NetIQ,2.508466072996363e-4,Webtrends,2.508466072996363e-4,US
NetIQ,2.508466072996363e-4,Webtrends,2.508466072996363e-4,US
Superawesome,2.508466072996363e-4,Superawesome,2.508466072996363e-4,UK
Youku Tudou,2.3830427693465446e-4,Youku Tudou,2.3830427693465446e-4,CN
Blinkx,2.1321961620469082e-4,Blinkx,2.1321961620469082e-4,US
Mozilla,2.0067728583970902e-4,Mozilla,2.0067728583970902e-4,US
Tnkfactory,1.755926251097454e-4,Tnkfactory,1.755926251097454e-4,KR
Presage,1.6305029474476357e-4,Presage,1.6305029474476357e-4,US
Adchina,1.5050796437978176e-4,Adchina,1.5050796437978176e-4,CN
Igaworks,1.5050796437978176e-4,Igaworks,1.5050796437978176e-4,KR
Mailchimp,1.5050796437978176e-4,Mailchimp,1.5050796437978176e-4,US
Swrve,1.3796563401479995e-4,Swrve,1.3796563401479995e-4,US
